Id,Name,Q1_AverageGrade,Q1_Absences,Q2_AverageGrade,Q2_Absences,Q3_AverageGrade,Q3_Absences,Q4_AverageGrade,Q4_Absences,LateArrivals,Disruptions,Notes
1,נועה כהן,94,0,93,1,92,0,92,1,0,0,תלמידה מצטיינת
2,עידו לוי,82,2,80,3,78,4,78,5,2,1,זוהתה ירידה בציונים
3,שירה מזרחי,75,5,68,8,62,10,58,12,8,4,ביצועים מחמירים
4,יונתן דוד,65,8,58,11,50,13,45,15,10,6,ירידה קריטית
5,תמר אברהם,90,1,89,1,88,2,88,2,1,0,חזקה ויציבה
6,איתי שלום,78,4,72,6,68,7,65,8,6,3,ירידה הדרגתית
7,מיכל ברק,96,0,95,0,95,0,95,0,0,0,מצטיינת עקבית
8,דניאל רוזן,70,6,65,9,58,12,52,14,9,5,הדרדרות חמורה
9,לירז שמש,85,2,84,2,83,3,82,3,2,1,ירידה קלה
10,אורי גולן,88,3,82,4,75,5,70,6,4,2,מגמה מדאיגה
11,רוני ישראלי,68,10,58,13,52,14,48,16,12,7,התערבות דחופה נדרשת
12,גיא פרידמן,92,0,91,1,90,1,90,1,1,0,ביצועים גבוהים יציבים
13,איתן בן שמחון,85,3,80,5,76,7,72,9,5,2,ירידה הדרגתית במשך השנה
14,עמית בלום,91,1,90,2,89,1,88,2,1,0,ביצועים טובים ויציבים
